url,form,perf,a11y,bp,seo,lcp_ms,cls,tbt_ms
https://skyyrose.co/,mobile,64,97,100,100,7028.786,0.095,113.5
https://skyyrose.co/,desktop,93,97,100,100,1448.889,0.007,0
https://skyyrose.co/shop/,mobile,71,90,100,100,6157.534,0.001,119.5
https://skyyrose.co/shop/,desktop,94,90,100,100,1258.0,0.012,15
https://skyyrose.co/collections/,mobile,72,97,100,100,7402.153,0.0,95
https://skyyrose.co/collections/,desktop,92,97,100,100,1859.119,0.007,4
https://skyyrose.co/collections/black-rose/,mobile,59,89,96,100,13551.513,0,101
https://skyyrose.co/collections/black-rose/,desktop,84,89,100,100,2115.355,0,0
https://skyyrose.co/collections/love-hurts/,mobile,65,93,96,100,8402.561,0.0,98.5
https://skyyrose.co/collections/love-hurts/,desktop,77,93,100,100,2770.793,0,0
https://skyyrose.co/collections/signature/,mobile,67,89,96,100,6513.531,0,96.5
https://skyyrose.co/collections/signature/,desktop,86,89,100,100,1660.183,0,0
https://skyyrose.co/collections/kids-capsule/,mobile,71,93,100,100,6177.516,0.0,101.5
https://skyyrose.co/collections/kids-capsule/,desktop,91,93,100,100,1284.739,0,0
https://skyyrose.co/product/the-fannie/,mobile,49,97,79,100,27283.849,0,671
https://skyyrose.co/product/the-fannie/,desktop,69,97,78,100,4919.27,0,20
https://skyyrose.co/cart/,mobile,57,97,79,69,3958.153,0.486,229
https://skyyrose.co/cart/,desktop,76,97,78,69,820.007,0.507,0
https://skyyrose.co/about/,mobile,86,94,96,100,3442.613,0.0,101
https://skyyrose.co/about/,desktop,91,94,96,100,1322.006,0,21.5
https://skyyrose.co/contact/,mobile,75,97,100,100,5469.278,0.003,102.5
https://skyyrose.co/contact/,desktop,94,97,100,100,1254.111,0.007,0
https://skyyrose.co/faq/,mobile,71,97,100,100,6457.844,0.0,154
https://skyyrose.co/faq/,desktop,,97,,100,,,
https://skyyrose.co/pre-order/,mobile,63,92,96,100,10147.39,0,150
https://skyyrose.co/pre-order/,desktop,87,92,96,100,1420.495,0.087,0
https://skyyrose.co/experiences/,mobile,74,97,100,100,6309.609,0.0,96
https://skyyrose.co/experiences/,desktop,92,97,100,100,1660.655,0.008,0
https://skyyrose.co/landing-black-rose/,mobile,68,92,100,100,13717.513,0.0,102
https://skyyrose.co/landing-black-rose/,desktop,81,92,96,100,2791.981,0.007,0
https://skyyrose.co/experience-black-rose/,mobile,68,89,96,100,5315.255,0,175
https://skyyrose.co/experience-black-rose/,desktop,88,89,100,100,1443.92,0,0
https://skyyrose.co/privacy-policy/,mobile,74,97,96,92,5646.905,0.02,98
https://skyyrose.co/privacy-policy/,desktop,94,97,96,92,1156.502,0.008,0
https://skyyrose.co/wishlist/,mobile,82,97,100,100,4089.44,0.058,101.5
https://skyyrose.co/wishlist/,desktop,77,97,100,100,835.733,0.403,0
https://skyyrose.co/shipping-returns/,mobile,73,97,100,100,6248.527,0.0,94.5
https://skyyrose.co/shipping-returns/,desktop,92,97,100,100,1530.496,0.008,0
https://skyyrose.co/this-page-does-not-exist-404-probe/,mobile,,,,,,,
https://skyyrose.co/this-page-does-not-exist-404-probe/,desktop,,,,,,,
